CODIGO;NOMBRE 
1051;Agurain/Salvatierra
1001;Alegría-Dulantzi
1002;Amurrio
1049;Añana
1003;Aramaio
1006;Armiñón
1037;Arraia-Maeztu
1008;Arratzua-Ubarrundia
1004;Artziniega
1009;Asparrena
1010;Ayala/Aiara
1011;Baños de Ebro/Mañueta
1013;Barrundia
1014;Berantevilla
1016;Bernedo
1017;Campezo/Kanpezu
1021;Elburgo/Burgelu
1022;Elciego
1023;Elvillar/Bilar
1047;Erriberabeitia
1046;Erriberagoitia/Ribera Alta
1056;Harana/Valle de Arana
1901;Iruña Oka/Iruña de Oca
1027;Iruraiz-Gauna
1019;Kripan
1020;Kuartango
1028;Labastida/Bastida
1030;Lagrán
1031;Laguardia
1032;Lanciego/Lantziego
1902;Lantarón
1033;Lapuebla de Labarca
1036;Laudio/Llodio
1058;Legutio
1034;Leza
1039;Moreda de Álava/Moreda Araba
1041;Navaridas
1042;Okondo
1043;Oyón-Oion
1044;Peñacerrada-Urizaharra
1052;Samaniego
1053;San Millán/Donemiliaga
1054;Urkabustaiz
1055;Valdegovía/Gaubea
1057;Villabuena de Álava/Eskuernaga
1059;Vitoria-Gasteiz
1060;Yécora/Iekora
1061;Zalduondo
1062;Zambrana
1018;Zigoitia
1063;Zuia
2001;Abengibre
2002;Alatoz
2003;Albacete
2004;Albatana
2005;Alborea
2006;Alcadozo
2007;Alcalá del Júcar
2008;Alcaraz
2009;Almansa
2010;Alpera
2011;Ayna
2012;Balazote
2014;Ballestero, El
2013;Balsa de Ves
2015;Barrax
2016;Bienservida
2017;Bogarra
2018;Bonete
2019;Bonillo, El
2020;Carcelén
2021;Casas de Juan Núñez
2022;Casas de Lázaro
2023;Casas de Ves
2024;Casas-Ibáñez
2025;Caudete
2026;Cenizate
2029;Chinchilla de Monte-Aragón
2027;Corral-Rubio
2028;Cotillas
2030;Elche de la Sierra
2031;Férez
2032;Fuensanta
2033;Fuente-Álamo
2034;Fuentealbilla
2035;Gineta, La
2036;Golosalvo
2037;Hellín
2038;Herrera, La
2039;Higueruela
2040;Hoya-Gonzalo
2041;Jorquera
2042;Letur
2043;Lezuza
2044;Liétor
2045;Madrigueras
2046;Mahora
2047;Masegoso
2048;Minaya
2049;Molinicos
2050;Montalvos
2051;Montealegre del Castillo
2052;Motilleja
2053;Munera
2054;Navas de Jorquera
2055;Nerpio
2056;Ontur
2057;Ossa de Montiel
2058;Paterna del Madera
2060;Peñas de San Pedro
2059;Peñascosa
2061;Pétrola
2062;Povedilla
2901;Pozo Cañada
2063;Pozohondo
2064;Pozo-Lorente
2065;Pozuelo
2066;Recueja, La
2067;Riópar
2068;Robledo
2069;Roda, La
2070;Salobre
2071;San Pedro
2072;Socovos
2073;Tarazona de la Mancha
2074;Tobarra
2075;Valdeganga
2076;Vianos
2077;Villa de Ves
2078;Villalgordo del Júcar
2079;Villamalea
2080;Villapalacios
2081;Villarrobledo
2082;Villatoya
2083;Villavaliente
2084;Villaverde de Guadalimar
2085;Viveros
2086;Yeste
3002;Agost
3003;Agres
3004;Aigües
3005;Albatera
3006;Alcalalí
3007;Alcocer de Planes
3008;Alcoleja
3009;Alcoy/Alcoi
3010;Alfafara
3011;Alfàs del Pi, l'
3012;Algorfa
3013;Algueña
3014;Alicante/Alacant
3015;Almoradí
3016;Almudaina
3017;Alqueria d'Asnar, l'
3018;Altea
3019;Aspe
3001;Atzúbia, l'
3020;Balones
3021;Banyeres de Mariola
3022;Benasau
3023;Beneixama
3024;Benejúzar
3025;Benferri
3026;Beniarbeig
3027;Beniardá
3028;Beniarrés
3030;Benidoleig
3031;Benidorm
3032;Benifallim
3033;Benifato
3029;Benigembla
3034;Benijófar
3035;Benilloba
3036;Benillup
3037;Benimantell
3038;Benimarfull
3039;Benimassot
3040;Benimeli
3041;Benissa
3042;Benitachell/Poble Nou de Benitatxell, el
3043;Biar
3044;Bigastro
3045;Bolulla
3046;Busot
3049;Callosa de Segura
3048;Callosa d'en Sarrià
3047;Calp
3050;Campello, el
3051;Campo de Mirra/Camp de Mirra, el
3052;Cañada
3053;Castalla
3054;Castell de Castells
3075;Castell de Guadalest, el
3055;Catral
3056;Cocentaina
3057;Confrides
3058;Cox
3059;Crevillent
3061;Daya Nueva
3062;Daya Vieja
3063;Dénia
3064;Dolores
3065;Elche/Elx
3066;Elda
3067;Facheca
3068;Famorca
3069;Finestrat
3077;Fondó de les Neus, el/Hondón de las Nieves
3070;Formentera del Segura
3072;Gaianes
3071;Gata de Gorgos
3073;Gorga
3074;Granja de Rocamora
3076;Guardamar del Segura
3078;Hondón de los Frailes
3079;Ibi
3080;Jacarilla
3082;Jávea/Xàbia
3083;Jijona/Xixona
3085;Llíber
3084;Lorcha/Orxa, l'
3086;Millena
3088;Monforte del Cid
3089;Monóvar/Monòver
3903;Montesinos, Los
3091;Murla
3092;Muro de Alcoy
3090;Mutxamel
3093;Novelda
3094;Nucia, la
3095;Ondara
3096;Onil
3097;Orba
3099;Orihuela
3098;Orxeta
3100;Parcent
3101;Pedreguer
3102;Pego
3103;Penàguila
3104;Petrer
3902;Pilar de la Horadada
3105;Pinós, el/Pinoso
3106;Planes
3901;Poblets, els
3107;Polop
3060;Quatretondeta
3109;Rafal
3110;Ràfol d'Almúnia, el
3111;Redován
3112;Relleu
3113;Rojales
3114;Romana, la
3115;Sagra
3116;Salinas
3118;San Fulgencio
3904;San Isidro
3120;San Miguel de Salinas
3122;San Vicente del Raspeig/Sant Vicent del Raspeig
3117;Sanet y Negrals
3119;Sant Joan d'Alacant
3121;Santa Pola
3123;Sax
3124;Sella
3125;Senija
3127;Tàrbena
3128;Teulada
3129;Tibi
3130;Tollos
3131;Tormos
3132;Torremanzanas/Torre de les Maçanes, la
3133;Torrevieja
3134;Vall d'Alcalà, la
3136;Vall de Gallinera
3137;Vall de Laguar, la
3135;Vall d'Ebo, la
3138;Verger, el
3139;Villajoyosa/Vila Joiosa, la
3140;Villena
3081;Xaló
4001;Abla
4002;Abrucena
4003;Adra
4004;Albanchez
4005;Alboloduy
4006;Albox
4007;Alcolea
4008;Alcóntar
4009;Alcudia de Monteagud
4010;Alhabia
4011;Alhama de Almería
4012;Alicún
4013;Almería
4014;Almócita
4015;Alsodux
4016;Antas
4017;Arboleas
4018;Armuña de Almanzora
4019;Bacares
4904;Balanegra
4020;Bayárcal
4021;Bayarque
4022;Bédar
4023;Beires
4024;Benahadux
4026;Benitagla
4027;Benizalón
4028;Bentarique
4029;Berja
4030;Canjáyar
4031;Cantoria
4032;Carboneras
4033;Castro de Filabres
4036;Chercos
4037;Chirivel
4034;Cóbdar
4035;Cuevas del Almanzora
4038;Dalías
4902;Ejido, El
4041;Enix
4043;Felix
4044;Fines
4045;Fiñana
4046;Fondón
4047;Gádor
4048;Gallardos, Los
4049;Garrucha
4050;Gérgal
4051;Huécija
4052;Huércal de Almería
4053;Huércal-Overa
4054;Íllar
4055;Instinción
4056;Laroya
4057;Láujar de Andarax
4058;Líjar
4059;Lubrín
4060;Lucainena de las Torres
4061;Lúcar
4062;Macael
4063;María
4064;Mojácar
4903;Mojonera, La
4065;Nacimiento
4066;Níjar
4067;Ohanes
4068;Olula de Castro
4069;Olula del Río
4070;Oria
4071;Padules
4072;Partaloa
4073;Paterna del Río
4074;Pechina
4075;Pulpí
4076;Purchena
4077;Rágol
4078;Rioja
4079;Roquetas de Mar
4080;Santa Cruz de Marchena
4081;Santa Fe de Mondújar
4082;Senés
4083;Serón
4084;Sierro
4085;Somontín
4086;Sorbas
4087;Suflí
4088;Tabernas
4089;Taberno
4090;Tahal
4091;Terque
4092;Tíjola
4901;Tres Villas, Las
4093;Turre
4094;Turrillas
4095;Uleila del Campo
4096;Urrácal
4097;Velefique
4098;Vélez-Blanco
4099;Vélez-Rubio
4100;Vera
4101;Viator
4102;Vícar
4103;Zurgena
5001;Adanero
5002;Adrada, La
5005;Albornos
5007;Aldeanueva de Santa Cruz
5008;Aldeaseca
5010;Aldehuela, La
5012;Amavida
5013;Arenal, El
5014;Arenas de San Pedro
5015;Arevalillo
5016;Arévalo
5017;Aveinte
5018;Avellaneda
5019;Ávila
5021;Barco de Ávila, El
5022;Barraco, El
5023;Barromán
5024;Becedas
5025;Becedillas
5026;Bercial de Zapardiel
5027;Berlanas, Las
5029;Bernuy-Zapardiel
5030;Berrocalejo de Aragona
5033;Blascomillán
5034;Blasconuño de Matacabras
5035;Blascosancho
5036;Bohodón, El
5037;Bohoyo
5038;Bonilla de la Sierra
5039;Brabos
5040;Bularros
5041;Burgohondo
5042;Cabezas de Alambre
5043;Cabezas del Pozo
5044;Cabezas del Villar
5045;Cabizuela
5046;Canales
5047;Candeleda
5048;Cantiveros
5049;Cardeñosa
5051;Carrera, La
5052;Casas del Puerto
5053;Casasola
5054;Casavieja
5055;Casillas
5056;Castellanos de Zapardiel
5057;Cebreros
5058;Cepeda la Mora
5067;Chamartín
5059;Cillán
5060;Cisla
5061;Colilla, La
5062;Collado de Contreras
5063;Collado del Mirón
5064;Constanzana
5065;Crespos
5066;Cuevas del Valle
5903;Diego del Carpio
5069;Donjimeno
5070;Donvidas
5072;Espinosa de los Caballeros
5073;Flores de Ávila
5074;Fontiveros
5075;Fresnedilla
5076;Fresno, El
5077;Fuente el Saúz
5078;Fuentes de Año
5079;Gallegos de Altamiros
5080;Gallegos de Sobrinos
5081;Garganta del Villar
5082;Gavilanes
5083;Gemuño
5085;Gil García
5084;Gilbuena
5086;Gimialcón
5087;Gotarrendura
5088;Grandes y San Martín
5089;Guisando
5090;Gutierre-Muñoz
5092;Hernansancho
5093;Herradón de Pinares
5094;Herreros de Suso
5095;Higuera de las Dueñas
5096;Hija de Dios, La
5097;Horcajada, La
5099;Horcajo de las Torres
5100;Hornillo, El
5102;Hoyo de Pinares, El
5101;Hoyocasero
5103;Hoyorredondo
5106;Hoyos de Miguel Muñoz
5104;Hoyos del Collado
5105;Hoyos del Espino
5107;Hurtumpascual
5108;Junciana
5109;Langa
5110;Lanzahíta
5113;Llanos de Tormes, Los
5112;Losar del Barco, El
5114;Madrigal de las Altas Torres
5115;Maello
5116;Malpartida de Corneja
5117;Mamblas
5118;Mancera de Arriba
5119;Manjabálago y Ortigosa de Rioalmar
5120;Marlín
5121;Martiherrero
5122;Martínez
5123;Mediana de Voltoya
5124;Medinilla
5125;Mengamuñoz
5126;Mesegar de Corneja
5127;Mijares
5128;Mingorría
5129;Mirón, El
5130;Mironcillo
5131;Mirueña de los Infanzones
5132;Mombeltrán
5133;Monsalupe
5134;Moraleja de Matacabras
5135;Muñana
5136;Muñico
5138;Muñogalindo
5139;Muñogrande
5140;Muñomer del Peco
5141;Muñopepe
5142;Muñosancho
5143;Muñotello
5144;Narrillos del Álamo
5145;Narrillos del Rebollar
5149;Narros de Saldueña
5147;Narros del Castillo
5148;Narros del Puerto
5152;Nava de Arévalo
5153;Nava del Barco
5151;Navacepedilla de Corneja
5154;Navadijos
5155;Navaescurial
5156;Navahondilla
5157;Navalacruz
5158;Navalmoral
5159;Navalonguilla
5160;Navalosa
5161;Navalperal de Pinares
